channel,dense_block_fraction_0.080_mean,dense_block_fraction_0.080_median,dense_block_fraction_0.080_std,dense_block_fraction_0.200_mean,dense_block_fraction_0.200_median,dense_block_fraction_0.200_std,max_block_density_0.080_mean,max_block_density_0.080_median,max_block_density_0.080_std,max_block_density_0.200_mean,max_block_density_0.200_median,max_block_density_0.200_std,max_mean,max_median,max_std,mean_block_density_0.080_mean,mean_block_density_0.080_median,mean_block_density_0.080_std,mean_block_density_0.200_mean,mean_block_density_0.200_median,mean_block_density_0.200_std,mean_intensity_per_pixel_mean,mean_intensity_per_pixel_median,mean_intensity_per_pixel_std,mean_mean,mean_median,mean_std,median_mean,median_median,median_std,p99_mean,p99_median,p99_std,pos_fraction_0.080_mean,pos_fraction_0.080_median,pos_fraction_0.080_std,pos_fraction_0.200_mean,pos_fraction_0.200_median,pos_fraction_0.200_std,pos_mean_0.080_mean,pos_mean_0.080_median,pos_mean_0.080_std,pos_mean_0.200_mean,pos_mean_0.200_median,pos_mean_0.200_std,pos_p95_0.080_mean,pos_p95_0.080_median,pos_p95_0.080_std,pos_p95_0.200_mean,pos_p95_0.200_median,pos_p95_0.200_std,speckle_index_mean,speckle_index_median,speckle_index_std,speckle_score_mean,speckle_score_median,speckle_score_std,std_mean,std_median,std_std,total_intensity_mean,total_intensity_median,total_intensity_std
0,0.139575731044279,0.108642578125,0.1195587662923583,0.011162354280956114,0.001708984375,0.02688274302203178,0.9107379016457681,1.0,0.21441323620471758,0.5749106093260188,0.583984375,0.28565107318434657,0.5058845051368669,0.5132066607475281,0.13575938493494563,0.12270948879397402,0.10111212730407715,0.0897827821122357,0.019008149173939864,0.010305643081665039,0.02638758698234396,0.027521074991118524,0.024808581918478012,0.016719226575717793,0.027521074991118524,0.024808581918478012,0.016719226575717793,0.007514661799847706,0.0053864349611103535,0.006701391136575168,0.19739706893407719,0.20093080401420593,0.07255436348822333,0.12270948879397402,0.10111212730407715,0.0897827821122357,0.019008149173939864,0.010305643081665039,0.02638758698234396,0.1387809841049876,0.14036616683006287,0.028021502479502164,0.23449367532348933,0.24179638922214508,0.052252625654901935,0.23128157996552118,0.23327992856502533,0.05948980354931609,0.3175455535467142,0.3239108920097351,0.07969671270029104,3551.4904892591367,1.328439115172299,19119.26770803039,0.12158320092681293,0.12189261718770873,0.024112393396368774,0.04456888525863543,0.04391432926058769,0.019139220054726156,115431.75491954839,104054.734375,70125.51890343944
1,0.010888365742554858,0.0,0.03521591815019382,0.00019133277821316614,0.0,0.002599749020426435,0.42372403996865204,0.275390625,0.36466937071853867,0.058881514498432604,0.0009765625,0.17734555088695,0.24940010319028902,0.2070649266242981,0.14886786055863202,0.011092618715053067,0.0005600452423095703,0.03148299226080216,0.00021437118793356008,2.384185791015625e-07,0.0023727856301915392,0.014317334829581476,0.012667277827858925,0.007604255125779424,0.014317334829581476,0.012667277827858925,0.007604255125779424,0.009893251493935207,0.008789196610450745,0.007047969219717378,0.06157756760296029,0.05085831880569458,0.035167309054066266,0.011092618715053067,0.0005600452423095703,0.03148299226080216,0.00021437118793356008,2.384185791015625e-07,0.0023727856301915392,0.09967306711737264,0.09363651275634766,0.022769830827243133,0.13471111949521547,0.2051117718219757,0.13360536235332446,0.1359069941325995,0.11967650800943375,0.06296182572735,0.16639251124148832,0.2069169133901596,0.18164791142111966,53830.39866699916,85215.87563848495,52705.814785121685,0.09936399316398324,0.09426079684059803,0.022027066378253333,0.013924577990167287,0.011716583743691444,0.008143599585799782,60051.2547450529,53130.4140625,31894.55769107714
2,0.0004393000587774295,0.0,0.001464407438289571,5.357317789968652e-05,0.0,0.0002875873593192626,0.2586604868730408,0.1806640625,0.25923319419484525,0.11584051724137931,0.0498046875,0.17031689939859973,0.5120458969624485,0.5090409517288208,0.32387181011140714,0.0010421156509542913,0.0002193450927734375,0.0023899083119831035,0.00021358492979809033,2.8133392333984375e-05,0.0005164703910356204,0.003947014593063828,0.0033378174994140863,0.001714622426650779,0.003947014593063828,0.0033378174994140863,0.001714622426650779,0.0033838196619644435,0.0031433585099875927,0.0008420859888921314,0.015146851471003413,0.008392462506890297,0.017219858492298477,0.0010421156509542913,0.0002193450927734375,0.0023899083119831035,0.00021358492979809033,2.8133392333984375e-05,0.0005164703910356204,0.1280799218713303,0.13494624197483063,0.05676079689144284,0.22823383698829663,0.27303221821784973,0.13443539416945466,0.2664455923027006,0.25964289903640747,0.16115481372453738,0.3708009072418871,0.4004104733467102,0.2545565059896113,80117.86966915795,106944.33910942078,69040.38925410005,0.1289098354083229,0.1359274105390102,0.05664013559738972,0.005014196580544488,0.0033119567669928074,0.004988271589345151,16554.979095745985,13999.8212890625,7191.647702591069
3,0.0008839574353448276,0.0,0.0033631663957131145,2.525592672413793e-05,0.0,9.429425959579155e-05,0.29237791438087773,0.2490234375,0.25310728380707587,0.10852701312695925,0.0654296875,0.12669085735638835,0.5422341743904548,0.5180743336677551,0.33365127584819915,0.0020837813709223157,0.00042128562927246094,0.006194567579827117,0.0002463925221123292,4.0531158447265625e-05,0.0007679540633589543,0.003923552797605112,0.0032681089360266924,0.0023307793913146424,0.003923552797605112,0.0032681089360266924,0.0023307793913146424,0.003122885592521218,0.0030518043786287308,0.0006378512641950444,0.02371232875047666,0.015335316769778728,0.02600311153389749,0.0020837813709223157,0.00042128562927246094,0.006194567579827117,0.0002463925221123292,4.0531158447265625e-05,0.0007679540633589543,0.11999220856491674,0.12683643400669098,0.047926577961561564,0.2304146606533505,0.2693122625350952,0.1315654793471828,0.2386523026003733,0.23552608489990234,0.13395979749182632,0.38725772612147197,0.4096192419528961,0.2606385389573255,67951.23742461014,91801.18305778503,66735.87113415744,0.1207052090411366,0.12751577001345119,0.04782354856041982,0.006051361985518495,0.004435002338141203,0.005641693250130982,16456.57319320631,13707.4423828125,9775.99732410857
4,0.0005051185344827587,0.0,0.006636818676628789,0.0,0.0,0.0,0.1375269396551724,0.091796875,0.1502051167507192,0.009349284874608151,0.0,0.023368519889969436,0.19292435802075555,0.18168917298316956,0.10804916598408058,0.001004698134514979,0.00011920928955078125,0.005176505731599399,2.8541469275017144e-05,0.0,0.0003266688379422411,0.003405643932865845,0.003037338377907872,0.001595869150406146,0.003405643932865845,0.003037338377907872,0.001595869150406146,0.0029066284179839314,0.0029755092691630125,0.0002693922029900136,0.018935920056802304,0.011474784463644028,0.0205001267968909,0.001004698134514979,0.00011920928955078125,0.005176505731599399,2.8541469275017144e-05,0.0,0.0003266688379422411,0.08630621949426806,0.09822089225053787,0.03359144420607601,0.09851131146791213,0.0,0.11273098565215625,0.1184019730149018,0.13368429243564606,0.05210481905073172,0.11526558368370451,0.0,0.13513717978111675,77901.41229236854,96628.74950265884,39966.79932419629,0.08719421329485255,0.09917171790613805,0.03351383113880384,0.004013524341764115,0.003016034374013543,0.003762961813521131,14284.305970194946,12739.5205078125,6693.5603610251
5,3.8266555642633225e-06,0.0,4.9136403186454626e-05,1.530662225705329e-06,0.0,2.729561756117599e-05,0.006425720023510972,0.0,0.050461444646404646,0.0027827439263322885,0.0,0.03016836913222576,0.04102227787653621,0.016464484855532646,0.07837205815382828,3.527698098305251e-06,0.0,3.542187956817775e-05,1.707794524285487e-06,0.0,2.2238419044058977e-05,0.0026919565373027354,0.002740758005529642,0.00026480568080142355,0.0026919565373027354,0.002740758005529642,0.00026480568080142355,0.002910455131938325,0.002944991225376725,0.00014512207246522135,0.003776392688519295,0.003524834057316184,0.0006202350951269692,3.527698098305251e-06,0.0,3.542187956817775e-05,1.707794524285487e-06,0.0,2.2238419044058977e-05,0.01705703314475505,0.0,0.05195655672567225,0.009833902260726522,0.0,0.05926073845724169,0.022869501928550695,0.0,0.07845652744292327,0.01185758748211457,0.0,0.07394660266336936,15140.838227076432,1.0,45302.84307525063,0.018055973095607383,0.001,0.051949359823626085,0.000784564773343375,0.0007110973238013685,0.0006952641964619231,11290.884072235012,11495.572265625,1110.675526208134
6,0.00010485036246081505,0.0,0.00029827890332969584,5.357317789968652e-06,0.0,6.241086353189629e-05,0.22582165948275862,0.201171875,0.14992424671197999,0.0313938822492163,0.0166015625,0.06128782500307302,0.2908156238799932,0.268970787525177,0.1426301651684556,0.001528430508221952,0.0007503032684326172,0.002020447902613839,3.243314808812635e-05,7.867813110351562e-06,8.03357115273361e-05,0.0047012552827725125,0.004391667898744345,0.0014366873280429037,0.0047012552827725125,0.004391667898744345,0.0014366873280429037,0.003193918973219152,0.0031586175318807364,0.00034323966519622445,0.03421412339962458,0.03341725841164589,0.017265570917866034,0.001528430508221952,0.0007503032684326172,0.002020447902613839,3.243314808812635e-05,7.867813110351562e-06,8.03357115273361e-05,0.10601743126177116,0.10376414656639099,0.03144981121917443,0.1764004811130721,0.22395485639572144,0.11725861581049091,0.16354493121835506,0.1523338407278061,0.08502738812341512,0.2241925551880116,0.2599313259124756,0.16778972184858987,82643.81947017628,100076.05863904953,49336.94972157262,0.1068516232628917,0.10449539218610712,0.03143370141295033,0.006707073691655767,0.006434694863855839,0.0031698299794452305,19718.49383755388,18419.990234375,6025.903406759663
7,8.41864224137931e-06,0.0,7.052682965265155e-05,3.8266555642633225e-06,0.0,4.9136403186454626e-05,0.012471835815047022,0.0,0.08151896121819503,0.005550181230407523,0.0,0.050466400531138954,0.038313921508860996,0.014862287789583206,0.10595123919967706,7.859591780037715e-06,0.0,5.949219739760981e-05,3.243688505645082e-06,0.0,3.445502358062522e-05,0.002426214569443866,0.0024567549116909504,0.0003923947942320072,0.002426214569443866,0.0024567549116909504,0.0003923947942320072,0.002747771954952176,0.0028534370940178633,0.000348160755974129,0.0038144206599008326,0.0036926832981407642,0.0005530082059102973,7.859591780037715e-06,0.0,5.949219739760981e-05,3.243688505645082e-06,0.0,3.445502358062522e-05,0.01227021051518222,0.0,0.05987680629113013,0.011543356092372285,0.0,0.07371110512290986,0.01927958487249841,0.0,0.10269491036726697,0.015490523746768509,0.0,0.10215024339829513,8169.00933928245,1.0,45823.59414689123,0.013267960591646484,0.001,0.05986149977795496,0.0011157914802729849,0.0010581505484879017,0.0010459872506948101,10176.281473476685,10304.376953125,1645.8230550264848
8,0.00031608174960815047,0.0,0.004395557969296923,3.8266555642633225e-06,0.0,4.9136403186454626e-05,0.09014988244514106,0.0146484375,0.16948259345846745,0.015220905172413793,0.0,0.053511927242301915,0.1744629028822561,0.11952392011880875,0.15609950616892132,0.00054068849378245,5.9604644775390625e-06,0.004228027237900829,1.634549945125759e-05,0.0,0.00014555095361639778,0.004555032327610614,0.004009705036878586,0.00211995880682215,0.004555032327610614,0.004009705036878586,0.00211995880682215,0.003433471271143438,0.0032501716632395983,0.0007679039949549689,0.019559961495494767,0.01570153422653675,0.01599750013556931,0.00054068849378245,5.9604644775390625e-06,0.004228027237900829,1.634549945125759e-05,0.0,0.00014555095361639778,0.07136881912016196,0.09127961844205856,0.05935854391612133,0.07700370663198931,0.0,0.11921363190012087,0.10540423292351367,0.10884871333837509,0.10264016019824132,0.0994090505154529,0.0,0.1612543491854018,63312.69042297951,87648.81802892685,58697.57026386485,0.07230859981549881,0.09227502019637719,0.05931803443987858,0.0038356041274986707,0.0029870395082980394,0.0033930632564642626,19105.190311826507,16817.921875,8891.75170328937
9,6.8879800156739816e-06,0.0,7.069273632662797e-05,1.530662225705329e-06,0.0,2.729561756117599e-05,0.06153568279780564,0.0302734375,0.08820849510602308,0.006667564655172414,0.0,0.027671723716906217,0.16729336263185665,0.14676126837730408,0.11616192482183071,0.00014626344543265698,1.6689300537109375e-05,0.00037308176471075857,4.598713220100044e-06,0.0,2.244125985513586e-05,0.003229146899194179,0.0031426544301211834,0.0004333814219878675,0.003229146899194179,0.0031426544301211834,0.0004333814219878675,0.003051134703686712,0.0030518043786287308,0.0001200444726726948,0.008587720202498114,0.005157549399882555,0.008261687826182005,0.00014626344543265698,1.6689300537109375e-05,0.00037308176471075857,4.598713220100044e-06,0.0,2.244125985513586e-05,0.077255052622396,0.09656672179698944,0.04915671611911078,0.07464072070899054,0.0,0.11098050953079269,0.1105761265960233,0.12509651482105255,0.078357148097197,0.0900062482371973,0.0,0.13879945345736447,75405.24231959008,96508.86221027374,48484.953437755146,0.07823890459933858,0.09756621003916752,0.04914505941925283,0.0019242167179064013,0.0013295443495735526,0.0016706251933511155,13544.023755877743,13181.248046875,1817.7334317694006
